"patch1.before","patch2.before","patch1.after","patch2.after"
72,46,72,46
83,57,76,64
87,46,78,55
87,44,72,59
81,45,78,48
72,40,68,44
89,62,81,70
67,54,61,60
78,41,70,49
80,63,75,68
74,59,75,58
81,61,75,67
79,40,69,50
78,39,67,50
78,51,73,56
105,44,82,67
75,54,79,50
82,44,72,54
68,53,70,51
84,48,70,62
89,68,80,77
92,57,85,64
79,60,67,72
61,52,57,56
71,68,70,69
88,46,75,59
98,47,93,52
90,51,78,63
92,52,81,63
71,48,65,54
78,51,71,58
80,51,71,60
69,50,64,55
76,57,75,58
109,55,94,70
74,60,64,70
55,49,59,45
90,59,81,68
53,43,56,40
86,43,67,62
96,54,88,62
73,54,77,50
73,48,64,57
56,59,58,57
85,36,73,48
71,57,69,59
75,55,77,53
91,53,80,64
77,47,69,55
98,48,90,56
73,41,65,49
84,52,73,63
81,42,77,46
81,43,63,61
90,55,82,63
67,60,66,61
80,49,63,66
83,51,70,64
70,56,68,58
73,39,68,44
77,43,72,48
70,59,77,52
79,46,64,61
71,65,65,71
83,46,75,54
68,57,67,58
82,41,71,52
83,44,78,49
81,37,72,46
81,45,69,57
81,32,76,37
86,41,81,46
82,53,76,59
79,38,64,53
89,54,78,65
81,57,64,74
73,57,77,53
85,52,76,61
74,55,69,60
83,53,73,63
66,48,63,51
96,41,83,54
93,49,82,60
76,41,67,50
65,54,65,54
79,43,70,52
79,62,75,66
89,52,73,68
89,49,73,65
72,59,70,61
86,47,74,59
94,51,78,67
94,53,80,67
76,45,71,50
86,48,82,52
84,45,73,56
101,55,84,72
71,60,80,51
69,62,62,69
76,50,63,63
83,57,75,65
87,51,72,66
103,53,81,75
78,47,70,55
76,48,73,51
62,48,60,50
75,40,68,47
84,49,75,58
83,53,78,58
91,54,77,68
74,41,63,52
77,53,81,49
84,46,76,54
67,62,66,63
80,51,80,51
88,47,84,51
76,63,68,71
71,60,68,63
85,57,79,63
94,51,82,63
84,52,86,50
79,50,67,62
93,38,79,52
69,51,62,58
73,55,66,62
83,59,74,68
72,55,68,59
74,41,63,52
80,54,72,62
75,57,69,63
67,53,64,56
83,52,69,66
76,57,67,66
89,53,73,69
73,59,68,64
79,57,65,71
72,60,69,63
70,41,58,53
72,59,71,60
91,46,77,60
78,54,81,51
71,56,72,55
88,47,81,54
78,45,72,51
70,57,64,63
83,50,76,57
70,45,61,54
81,49,75,55
87,56,80,63
87,52,83,56
83,44,64,63
90,57,79,68
72,47,57,62
96,50,76,70
75,73,74,74
68,57,61,64
72,56,77,51
70,49,64,55
84,45,67,62
69,47,66,50
90,50,86,54
94,64,82,76
90,50,77,63
78,44,68,54
83,56,75,64
78,59,77,60
76,44,62,58
81,45,70,56
83,53,72,64
94,49,87,56
65,50,62,53
80,41,67,54
96,58,85,69
67,50,62,55
84,44,75,53
87,42,70,59
67,55,64,58
90,45,78,57
77,52,67,62
84,57,77,64
80,38,71,47
62,61,61,62
71,43,63,51
80,44,66,58
86,63,85,64
87,53,69,71
71,45,62,54
76,43,67,52
88,47,74,61
66,55,71,50
60,55,61,54
87,39,75,51
76,48,73,51
95,47,75,67
80,46,80,46
74,53,76,51
76,50,63,63
84,44,69,59
94,53,85,62
88,54,79,63
71,62,67,66
73,51,68,56
79,57,71,65
87,35,76,46
98,55,86,67
73,46,64,55
71,51,68,54
74,43,68,49
75,46,75,46
79,49,76,52
70,46,66,50
76,53,66,63
72,55,67,60
76,55,73,58
66,47,62,51
76,45,77,44
77,39,67,49
85,58,77,66
65,48,60,53
78,44,73,49
85,53,76,62
90,38,80,48
83,45,69,59
74,59,72,61
77,47,71,53
88,55,79,64
85,55,84,56
86,42,66,62
83,41,75,49
69,50,70,49
80,38,70,48
70,58,61,67
95,50,83,62
69,56,57,68
77,61,71,67
75,57,66,66
91,46,77,60
72,52,62,62
72,45,58,59
68,53,65,56
85,54,72,67
94,63,88,69
76,41,68,49
72,48,63,57
81,63,81,63
95,44,80,59
77,52,69,60
82,53,79,56
79,45,66,58
82,60,77,65
86,44,73,57
61,39,59,41
89,49,76,62
73,64,68,69
76,40,66,50
84,52,77,59
100,46,79,67
78,46,72,52
97,51,79,69
67,42,59,50
78,62,73,67
77,57,75,59
73,59,61,71
77,38,69,46
82,50,82,50
69,59,72,56
99,52,76,75
75,57,77,55
91,50,77,64
79,41,63,57
72,39,65,46
91,58,73,76
88,48,84,52
76,59,70,65
74,43,64,53
77,53,68,62
90,43,80,53
97,61,79,79
82,58,81,59
92,55,84,63
71,45,69,47
68,60,61,67
73,48,69,52
84,50,78,56
76,52,73,55
62,44,59,47
83,43,67,59
91,42,80,53
96,50,77,69
77,70,74,73
92,56,81,67
86,62,68,80
79,56,74,61
75,42,62,55
84,50,82,52
71,65,63,73
93,49,84,58
78,42,69,51
82,40,73,49
81,50,76,55
83,45,72,56
72,45,66,51
86,51,77,60
91,44,72,63
82,53,73,62
88,41,71,58
82,45,66,61
92,60,85,67
95,49,69,75
80,50,71,59
68,63,62,69
76,56,75,57
74,55,69,60
84,50,74,60
85,46,83,48
86,51,74,63
68,43,66,45
87,48,72,63
82,47,68,61
68,48,59,57
87,43,69,61
75,49,66,58
73,58,58,73
92,53,81,64
68,53,65,56
76,54,70,60
59,49,52,56
98,45,83,60
73,50,66,57
77,51,71,57
74,49,66,57
74,56,70,60
78,54,75,57
65,47,62,50
89,55,83,61
87,52,83,56
76,39,74,41
79,55,61,73
88,38,69,57
88,49,77,60
78,37,70,45
83,54,81,56
98,52,88,62
69,52,62,59
85,55,73,67
103,45,82,66
78,45,70,53
74,59,67,66
72,57,66,63
77,47,67,57
79,45,75,49
74,43,67,50
74,55,71,58
81,57,78,60
71,38,61,48
83,56,84,55
76,57,72,61
92,53,86,59
78,46,65,59
70,63,76,57
66,46,61,51
85,44,79,50
83,55,73,65
70,51,68,53
56,60,60,56
77,56,70,63
75,47,71,51
75,47,66,56
77,52,74,55
85,53,85,53
83,45,69,59
72,44,67,49
88,55,82,61
63,41,55,49
72,45,62,55
73,44,66,51
82,52,73,61
71,42,65,48
72,50,67,55
69,46,64,51
78,35,63,50
87,53,79,61
85,45,77,53
81,46,70,57
62,48,50,60
90,39,75,54
92,55,79,68
72,56,71,57
87,46,79,54
81,55,70,66
92,60,89,63
81,47,75,53
82,49,73,58
87,63,86,64
84,61,69,76
79,47,72,54
71,56,62,65
81,47,70,58
65,55,62,58
78,55,68,65
83,51,80,54
70,59,67,62
73,47,67,53
87,48,85,50
77,50,76,51
73,63,71,65
83,47,71,59
83,51,78,56
78,41,66,53
75,55,66,64
87,48,82,53
83,46,74,55
85,42,72,55
82,46,69,59
76,61,72,65
93,55,77,71
91,51,80,62
93,50,81,62
72,60,72,60
70,41,59,52
95,47,93,49
90,46,76,60
90,53,77,66
78,53,66,65
72,49,66,55
91,48,80,59
74,62,74,62
85,55,78,62
75,39,68,46
71,57,73,55
86,43,73,56
102,58,84,76
83,42,73,52
64,40,52,52
92,46,73,65
81,41,72,50
58,61,54,65
66,48,59,55
101,43,88,56
88,59,78,69
80,64,77,67
83,51,78,56
69,47,65,51
73,46,62,57
69,52,63,58
78,54,77,55
71,52,64,59
85,57,74,68
85,39,76,48
72,46,68,50
78,57,71,64
72,47,68,51
64,47,65,46
109,52,87,74
64,49,58,55
78,53,71,60
80,52,79,53
78,43,71,50
79,59,71,67
104,46,90,60
80,48,75,53
71,49,67,53
86,54,77,63
81,57,76,62
90,52,82,60
69,45,70,44
74,55,67,62
70,46,62,54
84,45,71,58
78,55,70,63
83,43,72,54
76,48,81,43
77,54,69,62
64,60,62,62
73,67,69,71
77,49,76,50
71,45,66,50
82,46,76,52
79,53,67,65
70,43,64,49
79,49,79,49
83,41,69,55
77,44,75,46
78,36,71,43
93,52,82,63
83,62,74,71
88,59,77,70
79,42,72,49
83,41,73,51
78,47,73,52
73,60,59,74
83,51,76,58
80,42,75,47
89,54,81,62
68,57,64,61
61,67,56,72
66,47,62,51
80,49,75,54
85,53,73,65
85,60,84,61
81,45,70,56
83,48,70,61
87,52,80,59
66,54,61,59
84,47,73,58
87,49,79,57
82,46,73,55
80,41,70,51
88,43,78,53
88,56,75,69
72,59,73,58
97,39,78,58
86,52,72,66
69,58,62,65
73,49,56,66
85,45,75,55
77,50,72,55
77,53,68,62
60,44,55,49
66,49,52,63
90,64,76,78
59,52,54,57
89,55,83,61
89,48,78,59
68,56,62,62
82,49,71,60
98,49,91,56
73,47,67,53
81,51,78,54
81,46,77,50
88,41,73,56
65,43,54,54
97,40,82,55
81,40,71,50
76,41,75,42
80,40,72,48
59,48,54,53
79,60,66,73
90,72,91,71
81,54,70,65
84,43,71,56
78,44,69,53
79,45,76,48
74,45,67,52
63,64,66,61
87,44,79,52
81,47,73,55
68,51,55,64
95,44,86,53
79,40,75,44
85,48,71,62
73,45,66,52
77,38,66,49
87,57,78,66
88,60,82,66
93,34,79,48
93,48,72,69
73,49,71,51
62,48,51,59
97,42,82,57
70,59,67,62
73,49,64,58
94,43,80,57
68,50,71,47
79,37,70,46
68,45,68,45
81,64,80,65
84,53,83,54
86,44,79,51
77,41,70,48
86,46,80,52
90,46,85,51
72,47,63,56
68,41,60,49
72,48,60,60
69,49,66,52
78,51,75,54
74,47,64,57
73,39,60,52
92,50,81,61
67,46,61,52
85,37,73,49
83,46,67,62
86,44,70,60
90,62,72,80
74,47,73,48
71,50,71,50
85,50,78,57
85,55,81,59
88,52,76,64
77,56,62,71
86,44,75,55
73,41,67,47
72,50,61,61
74,32,63,43
87,46,82,51
84,53,73,64
85,56,73,68
75,62,72,65
79,51,70,60
59,44,56,47
84,43,80,47
88,39,65,62
79,54,70,63
72,47,66,53
72,48,56,64
84,42,65,61
84,50,79,55
75,54,73,56
89,40,79,50
72,56,65,63
73,49,68,54
69,30,61,38
81,54,79,56
83,60,82,61
78,51,62,67
88,40,78,50
84,47,69,62
91,51,74,68
81,34,71,44
81,58,78,61
80,43,66,57
79,52,67,64
82,49,72,59
91,58,78,71
69,44,61,52
70,60,67,63
66,43,59,50
94,57,86,65
79,45,61,63
73,59,72,60
68,52,58,62
67,48,64,51
64,59,55,68
82,51,73,60
94,48,88,54
83,47,81,49
71,51,64,58
86,52,75,63
85,51,68,68
83,42,67,58
78,55,66,67
84,48,69,63
74,48,68,54
71,50,63,58
78,47,71,54
68,41,55,54
87,49,74,62
73,49,70,52
70,44,68,46
76,59,72,63
88,49,79,58
85,56,76,65
77,49,68,58
80,44,71,53
95,62,94,63
92,47,83,56
94,38,78,54
92,57,85,64
90,44,75,59
85,37,71,51
90,43,81,52
98,55,85,68
68,54,66,56
88,54,79,63
76,45,74,47
84,66,77,73
86,55,76,65
76,56,70,62
87,52,76,63
78,52,71,59
79,61,77,63
71,47,62,56
70,50,62,58
65,49,58,56
84,55,78,61
79,47,67,59
91,53,79,65
81,58,76,63
84,55,77,62
77,48,67,58
66,53,69,50
64,36,61,39
81,55,70,66
85,50,80,55
76,48,70,54
73,47,68,52
70,55,66,59
80,52,68,64
100,59,93,66
81,54,78,57
74,45,62,57
80,50,79,51
98,45,79,64
77,49,69,57
92,48,73,67
68,49,62,55
71,44,71,44
76,57,76,57
101,45,78,68
66,41,56,51
80,50,75,55
79,53,71,61
82,60,70,72
70,40,66,44
83,43,72,54
76,50,59,67
85,56,74,67
93,43,81,55
73,48,69,52
80,50,64,66
72,65,66,71
71,53,72,52
74,40,69,45
70,47,55,62
78,48,71,55
90,47,82,55
88,52,84,56
75,42,70,47
68,48,70,46
74,57,66,65
81,49,63,67
99,51,89,61
62,47,54,55
71,44,57,58
74,46,65,55
68,51,65,54
76,60,75,61
69,48,60,57
83,49,67,65
72,43,63,52
75,56,66,65
74,47,66,55
77,53,63,67
86,46,77,55
77,42,77,42
73,62,70,65
90,35,80,45
71,49,71,49
71,64,69,66
81,45,71,55
70,44,69,45
78,55,76,57
81,53,72,62
73,50,68,55
85,49,65,69
77,41,74,44
77,42,57,62
84,53,75,62
79,57,71,65
66,46,63,49
81,40,68,53
89,46,77,58
84,56,75,65
74,57,70,61
80,52,76,56
74,41,64,51
83,49,77,55
84,53,74,63
93,46,87,52
95,57,81,71
76,50,68,58
87,44,69,62
90,46,77,59
80,63,75,68
71,46,61,56
72,40,69,43
69,54,66,57
80,46,74,52
64,53,63,54
80,58,76,62
75,52,68,59
81,44,74,51
84,53,72,65
72,46,70,48
84,35,69,50
86,54,79,61
81,52,79,54
82,55,82,55
66,57,65,58
77,47,71,53
71,56,64,63
71,52,69,54
80,56,74,62
80,41,72,49
77,42,67,52
81,47,66,62
75,54,68,61
73,54,61,66
84,43,78,49
88,58,76,70
87,48,70,65
75,45,69,51
93,40,80,53
76,60,75,61
81,37,72,46
86,70,72,84
85,51,71,65
89,51,70,70
84,39,72,51
81,61,84,58
76,56,71,61
86,39,71,54
84,54,75,63
71,47,66,52
89,48,79,58
70,54,70,54
89,54,84,59
88,44,79,53
88,52,77,63
79,48,61,66
85,47,69,63
87,60,80,67
59,47,55,51
67,55,70,52
94,54,76,72
86,46,73,59
88,48,76,60
85,52,77,60
89,55,87,57
84,55,78,61
80,47,70,57
70,43,67,46
79,39,69,49
86,44,74,56
73,49,68,54
88,42,77,53
88,51,85,54
81,51,80,52
89,61,78,72
74,57,67,64
65,60,69,56
67,42,59,50
61,48,61,48
82,59,72,69
68,38,49,57
70,43,59,54
72,46,68,50
79,61,76,64
77,59,70,66
90,57,77,70
88,44,78,54
84,40,75,49
79,53,69,63
85,53,70,68
83,40,70,53
98,52,85,65
79,48,76,51
85,52,71,66
99,50,83,66
85,49,78,56
64,46,60,50
85,44,80,49
64,55,64,55
83,47,81,49
82,42,62,62
90,46,85,51
78,40,68,50
97,54,84,67
82,42,76,48
73,44,69,48
87,46,77,56
79,42,64,57
85,58,73,70
80,59,74,65
92,46,81,57
68,56,69,55
71,47,61,57
76,34,73,37
81,45,69,57
76,53,77,52
80,55,71,64
87,66,84,69
67,43,60,50
72,49,63,58
82,50,76,56
84,69,73,80
78,56,66,68
82,42,80,44
75,43,61,57
64,35,57,42
74,54,68,60
72,38,73,37
68,43,53,58
92,42,82,52
92,40,79,53
87,46,75,58
89,47,88,48
109,49,95,63
85,50,75,60
87,42,70,59
95,48,87,56
61,58,63,56
64,48,66,46
87,53,79,61
86,55,79,62
93,51,82,62
88,57,80,65
88,50,82,56
77,39,73,43
89,55,80,64
91,66,81,76
78,66,77,67
82,56,78,60
73,59,68,64
82,52,65,69
58,64,65,57
77,58,82,53
83,58,82,59
82,41,76,47
71,48,68,51
75,54,68,61
71,57,67,61
77,49,70,56
80,53,76,57
55,55,53,57
73,42,66,49
112,51,92,71
99,48,90,57
81,54,74,61
81,44,68,57
88,49,83,54
65,68,68,65
80,48,72,56
79,46,69,56
90,49,82,57
73,49,63,59
75,45,69,51
91,47,79,59
63,43,63,43
74,60,71,63
59,49,67,41
77,48,72,53
78,66,79,65
64,54,54,64
71,46,66,51
79,40,64,55
100,62,92,70
86,53,75,64
80,45,71,54
89,42,72,59
68,51,67,52
84,49,69,64
64,48,60,52
80,50,61,69
75,48,72,51
88,43,81,50
81,52,71,62
81,42,74,49
69,51,68,52
68,47,74,41
79,51,76,54
87,43,80,50
78,43,64,57
75,43,75,43
90,51,79,62
71,36,69,38
85,54,81,58
85,49,72,62
84,55,81,58
64,43,62,45
80,40,76,44
88,49,76,61
96,47,78,65
72,59,65,66
83,55,78,60
76,43,65,54
65,63,61,67
81,38,64,55
84,46,71,59
84,52,66,70
84,53,72,65
101,48,83,66
67,43,59,51
73,54,69,58
70,40,63,47
84,45,74,55
77,46,68,55
78,43,71,50
78,49,76,51
83,63,77,69
69,46,60,55
83,49,76,56
75,42,75,42
68,53,68,53
96,50,81,65
89,50,77,62
87,53,77,63
76,55,66,65
80,59,78,61
86,60,78,68
67,39,61,45
78,48,68,58
81,40,72,49
85,55,77,63
70,56,70,56
86,47,73,60
89,62,79,72
79,51,70,60
84,53,76,61
78,63,78,63
94,54,80,68
78,43,73,48
83,40,69,54
69,49,61,57
70,44,61,53
87,41,68,60
91,57,84,64
73,55,73,55
83,45,65,63
79,57,75,61
75,41,62,54
70,62,72,60
74,58,75,57
75,46,59,62
83,46,71,58
71,53,64,60
69,40,66,43
84,60,71,73
63,59,59,63
86,55,84,57
85,64,81,68
83,46,72,57
75,41,67,49
83,60,64,79
76,51,70,57
82,43,71,54
82,60,73,69
62,49,60,51
79,57,68,68
75,43,60,58
79,56,70,65
73,47,72,48
79,61,78,62
82,58,87,53
78,53,72,59
75,59,77,57
87,44,77,54
97,55,77,75
89,47,78,58
87,55,77,65
85,49,74,60
75,37,62,50
74,44,61,57
61,39,61,39
92,50,83,59
77,47,62,62
83,43,78,48
87,45,71,61
61,52,55,58
71,44,67,48
81,56,73,64
65,56,71,50
83,50,80,53
90,44,78,56
56,53,62,47
90,54,77,67
94,42,86,50
74,49,65,58
94,63,89,68
83,50,78,55
74,70,73,71
74,51,69,56
73,47,65,55
83,61,78,66
97,49,80,66
86,46,79,53
79,46,74,51
85,61,75,71
71,53,69,55
86,33,73,46
80,42,74,48
62,58,58,62
91,46,89,48
89,59,73,75
68,59,65,62
76,48,72,52
88,31,78,41
76,46,66,56
83,44,76,51
74,50,64,60
67,48,65,50
77,42,72,47
93,48,79,62
80,45,72,53
93,56,79,70
67,42,62,47
69,54,70,53
93,40,79,54
85,42,73,54
75,43,66,52
76,54,79,51
79,54,68,65
89,49,74,64
88,60,79,69
102,54,82,74
81,56,77,60
83,52,73,62
70,45,70,45
88,43,75,56
83,64,75,72
75,52,72,55
92,50,86,56
71,53,57,67
86,44,75,55
102,51,82,71
75,55,76,54
70,61,62,69
89,55,78,66
82,57,75,64
81,41,71,51
88,46,78,56
83,53,81,55
80,46,72,54
80,46,71,55
100,52,83,69
58,43,60,41
84,47,76,55
79,50,68,61
79,50,70,59
72,56,69,59
80,53,80,53
90,50,73,67
81,40,68,53
81,48,67,62
82,41,73,50
72,58,65,65
81,47,73,55
62,52,58,56
77,50,63,64
79,54,68,65
71,44,59,56
76,48,72,52
87,59,79,67
76,48,68,56
85,42,69,58
76,44,71,49
97,38,91,44
68,41,60,49
78,52,76,54
84,39,74,49
69,51,60,60
99,62,82,79
74,48,67,55
87,58,77,68
86,58,77,67
84,54,69,69
71,46,65,52
76,55,69,62
74,48,71,51
79,47,72,54
101,54,87,68
84,48,71,61
72,56,65,63
79,56,79,56
73,65,70,68
89,58,78,69
74,54,74,54
79,56,75,60
79,56,72,63
84,52,72,64
87,44,74,57
87,59,75,71
90,59,82,67
76,49,68,57
95,55,80,70
65,43,62,46
77,47,66,58
97,64,72,89
78,40,69,49
94,52,91,55
67,48,63,52
68,43,66,45
87,58,75,70
81,50,74,57
88,51,77,62
67,45,59,53
74,54,73,55
76,55,67,64
80,53,62,71
92,41,89,44
83,47,70,60
74,43,71,46
82,59,72,69
72,54,65,61
89,55,76,68
72,49,68,53
82,44,74,52
88,41,74,55
90,58,74,74
78,53,64,67
74,53,66,61
79,63,70,72
86,50,80,56
77,58,68,67
67,41,55,53
73,35,66,42
74,47,67,54
83,49,71,61
81,47,68,60
85,63,78,70
87,49,73,63
55,55,48,62
61,42,56,47
82,49,81,50
71,53,64,60
86,54,75,65
83,52,86,49
80,49,77,52
75,52,67,60
85,53,77,61
70,40,58,52
68,56,65,59
76,47,67,56
78,50,73,55
91,55,83,63
86,43,80,49
93,41,82,52
70,55,63,62
72,52,63,61
82,47,74,55
63,52,56,59
70,45,71,44
71,43,61,53
84,49,72,61
72,50,68,54
76,37,65,48
92,53,85,60
76,38,64,50
73,62,63,72
91,51,86,56
84,46,78,52
76,54,65,65
88,60,76,72
70,53,63,60
77,54,76,55
86,50,71,65
88,36,75,49
76,60,69,67
57,46,57,46
85,42,69,58
88,53,76,65
82,47,69,60
91,59,80,70
85,65,67,83
80,41,69,52
90,58,86,62
83,52,83,52
86,39,80,45
61,50,60,51
83,62,82,63
79,56,73,62
81,44,75,50
80,53,76,57
81,43,64,60
80,49,76,53
76,62,74,64
81,39,73,47
80,53,72,61
69,42,61,50
82,54,80,56
83,37,73,47
78,46,77,47
79,68,68,79
75,57,65,67
77,45,61,61
62,62,60,64
87,45,77,55
84,49,79,54
68,55,69,54
76,54,71,59
80,49,71,58
69,36,61,44
84,39,73,50
76,57,72,61
98,54,81,71
67,54,72,49
91,56,79,68
89,53,83,59
82,51,68,65
66,42,59,49
79,47,64,62
80,42,75,47
77,52,69,60
81,59,82,58
74,62,78,58
109,57,85,81
86,51,71,66
63,47,49,61
77,39,64,52
75,52,72,55
70,54,66,58
77,50,75,52
85,52,73,64
99,50,87,62
87,60,73,74
67,50,69,48
79,48,68,59
89,45,68,66
72,61,69,64
59,45,60,44
84,52,83,53
65,50,66,49
66,57,55,68
84,53,75,62
55,61,56,60
58,48,57,49
69,42,68,43
77,44,60,61
80,59,75,64
85,53,77,61
78,42,75,45
96,59,98,57
74,44,58,60
76,52,73,55
69,39,66,42
75,37,73,39
90,51,75,66
60,44,61,43
72,61,65,68
82,52,82,52
74,44,65,53
76,51,65,62
75,47,70,52
78,48,77,49
68,57,66,59
77,63,70,70
91,55,78,68
81,51,67,65
66,53,59,60
89,61,84,66
81,63,76,68
86,50,80,56
95,44,80,59
81,37,69,49
71,54,65,60
66,42,60,48
69,46,62,53
57,50,58,49
91,34,77,48
84,41,71,54
85,45,76,54
67,51,65,53
78,56,80,54
88,50,79,59
82,64,73,73
73,62,69,66
98,47,83,62
83,49,78,54
71,43,63,51
92,55,79,68
85,48,79,54
97,42,69,70
72,42,64,50
87,47,67,67
83,56,80,59
62,50,55,57
63,64,70,57
77,56,72,61
77,58,70,65
77,67,74,70
90,47,84,53
83,58,77,64
79,63,70,72
72,43,68,47
78,50,69,59
69,47,65,51
75,55,70,60
75,53,74,54
81,41,72,50
64,39,56,47
86,39,72,53
75,39,63,51
88,66,77,77
75,50,70,55
77,53,78,52
85,46,83,48
86,52,76,62
79,45,67,57
70,41,58,53
97,48,88,57
68,37,60,45
84,45,73,56
81,60,71,70
86,52,71,67
96,36,77,55
102,48,95,55
78,54,74,58
88,58,75,71
92,59,85,66
96,58,77,77
79,43,72,50
73,51,69,55
83,47,72,58
70,56,62,64
83,61,78,66
78,45,68,55
78,55,72,61
81,44,74,51
95,46,89,52
59,46,55,50
68,56,60,64
69,48,67,50
56,51,55,52
83,63,78,68
89,47,82,54
88,50,77,61
57,54,58,53
69,43,63,49
80,57,74,63
91,49,79,61
69,45,64,50
78,45,69,54
69,43,61,51
69,38,55,52
74,39,65,48
68,49,66,51
77,47,65,59
70,51,61,60
70,42,67,45
80,56,78,58
90,47,76,61
74,52,70,56
65,52,63,54
77,41,65,53
91,52,77,66
94,53,77,70
78,49,69,58
71,46,67,50
74,55,65,64
77,51,74,54
91,43,72,62
84,59,79,64
74,50,69,55
71,45,59,57
71,48,60,59
83,45,74,54
80,50,79,51
97,44,60,81
82,47,76,53
67,45,61,51
94,36,78,52
90,52,76,66
85,49,67,67
81,43,71,53
72,56,70,58
76,46,71,51
97,44,80,61
77,50,63,64
77,50,77,50
79,42,64,57
74,35,67,42
78,37,71,44
90,41,74,57
86,55,76,65
65,45,58,52
66,50,63,53
78,63,73,68
75,50,68,57
93,40,73,60
96,60,90,66
86,46,77,55
68,62,72,58
76,55,74,57
70,48,62,56
73,59,69,63
78,54,77,55
69,61,68,62
72,42,62,52
102,45,90,57
73,39,67,45
89,57,80,66
74,59,70,63
83,49,73,59
72,37,63,46
86,56,81,61
99,45,90,54
73,46,68,51
87,42,78,51
72,58,74,56
65,54,60,59
81,46,69,58
93,53,82,64
81,38,68,51
75,47,71,51
83,40,71,52
81,45,72,54
73,58,70,61
67,65,73,59
82,45,78,49
62,43,55,50
94,51,85,60
75,47,63,59
79,51,74,56
81,41,70,52
75,43,70,48
58,52,60,50
77,69,68,78
86,55,83,58
83,56,75,64
86,51,73,64
76,57,73,60
72,52,62,62
87,37,69,55
93,56,81,68
